Year,Country,Protein_Supply,Male_Height,Female_Height,GDP_Per_Capita
2016,Afghanistan,64.82945,165.2558607,155.0753231,2958.7854
2017,Afghanistan,65.336555,165.2558607,155.0753231,2952.999
2018,Afghanistan,62.843628,165.2558607,155.0753231,2902.392
2019,Afghanistan,60.84046,165.2558607,155.0753231,2927.245
2016,Africa,65.60725,,,
2017,Africa,65.81625,,,
2018,Africa,65.74935,,,
2019,Africa,65.545525,,,
2016,Africa (FAO),66.66,,,
2017,Africa (FAO),66.88,,,
2018,Africa (FAO),66.81,,,
2019,Africa (FAO),66.57,,,
2016,Albania,115.774574,173.3888563,161.7698561,13933.284
2017,Albania,116.34692,173.3888563,161.7698561,14614.531
2018,Albania,114.62397,173.3888563,161.7698561,15386.701
2019,Albania,117.963104,173.3888563,161.7698561,15948.279
2016,Algeria,92.764015,170.0718002,159.0896222,15511.686
2017,Algeria,91.18475,170.0718002,159.0896222,15427.664
2018,Algeria,93.254364,170.0718002,159.0896222,15343.426
2019,Algeria,94.64425,170.0718002,159.0896222,15199.199
2016,Americas (FAO),100.59,,,
2017,Americas (FAO),101.51,,,
2018,Americas (FAO),103.18,,,
2019,Americas (FAO),103.46,,,
2016,Angola,50.650795,167.3107273,157.3052103,10805.712
2017,Angola,52.784214,167.3107273,157.3052103,10414.236
2018,Angola,52.200558,167.3107273,157.3052103,10000.944
2019,Angola,48.68683,167.3107273,157.3052103,9648.011
2016,Antigua and Barbuda,83.907394,172.7069903,160.6526419,26627.715
2017,Antigua and Barbuda,95.44725,172.7069903,160.6526419,27199.195
2018,Antigua and Barbuda,95.466805,172.7069903,160.6526419,28878.607
2019,Antigua and Barbuda,93.57474,172.7069903,160.6526419,29651.863
2016,Argentina,108.07564,174.6157252,159.1792058,27802.105
2017,Argentina,109.78617,174.6157252,159.1792058,28334.904
2018,Argentina,112.56848,174.6157252,159.1792058,27367.115
2019,Argentina,114.17834,174.6157252,159.1792058,26629.553
2016,Armenia,107.26787,171.9966462,158.0892096,13192.994
2017,Armenia,105.4391,171.9966462,158.0892096,14243.875
2018,Armenia,103.54035,171.9966462,158.0892096,15037.045
2019,Armenia,104.53017,171.9966462,158.0892096,16215.36
2016,Asia,86.25916,,,
2017,Asia,87.62498,,,
2018,Asia,87.776474,,,
2019,Asia,88.93793,,,
2016,Asia (FAO),86.8,,,
2017,Asia (FAO),88.17,,,
2018,Asia (FAO),88.31,,,
2019,Asia (FAO),89.3,,,
2016,Australia,120.50133,179.2046477,165.8581773,56529.953
2017,Australia,117.42804,179.2046477,165.8581773,56881.855
2018,Australia,118.255,179.2046477,165.8581773,57647.844
2019,Australia,121.62782,179.2046477,165.8581773,58048.617
2016,Austria,109.72204,177.4077047,164.6209454,61572.71
2017,Austria,107.80433,177.4077047,164.6209454,62535.9
2018,Austria,110.48571,177.4077047,164.6209454,63778.027
2019,Austria,110.31838,177.4077047,164.6209454,64609.375
2016,Azerbaijan,92.570435,169.7494329,158.2524089,19822.41
2017,Azerbaijan,94.72935,169.7494329,158.2524089,19659.004
2018,Azerbaijan,94.58025,169.7494329,158.2524089,19781.852
2019,Azerbaijan,98.871376,169.7494329,158.2524089,20101.492
2016,Bahamas,94.51031,172.7466298,160.680362,32172.336
2017,Bahamas,92.11785,172.7466298,160.680362,33050.035
2018,Bahamas,94.1636,172.7466298,160.680362,33650.215
2019,Bahamas,92.42628,172.7466298,160.680362,33202.49
2019,Bahrain,109.38335,167.7434113,156.6916935,56749.96
2016,Bangladesh,59.50738,163.8082283,150.7888441,5682.5356
2017,Bangladesh,61.201645,163.8082283,150.7888441,6005.707
2018,Bangladesh,63.302204,163.8082283,150.7888441,6392.5933
2019,Bangladesh,62.748665,163.8082283,150.7888441,6838.326
2016,Barbados,103.44584,175.9161243,165.2770151,20930.633
2017,Barbados,103.47419,175.9161243,165.2770151,21035.793
2018,Barbados,105.59152,175.9161243,165.2770151,20727.422
2019,Barbados,106.68552,175.9161243,165.2770151,20737.979
2016,Belarus,101.14802,178.4384054,166.3465611,24846.83
2017,Belarus,101.29294,178.4384054,166.3465611,25503.98
2018,Belarus,102.07929,178.4384054,166.3465611,26363.463
2019,Belarus,112.76062,178.4384054,166.3465611,26798.82
2016,Belgium,102.21668,181.698803,165.4911355,57901.496
2017,Belgium,99.65922,181.698803,165.4911355,58529.332
2018,Belgium,100.38529,181.698803,165.4911355,59357.69
2019,Belgium,106.57469,181.698803,165.4911355,60479.977
2016,Belize,80.86083,168.7317804,156.8758678,12063.06
2017,Belize,77.47498,168.7317804,156.8758678,11572.301
2018,Belize,76.89994,168.7317804,156.8758678,11451.897
2019,Belize,80.75807,168.7317804,156.8758678,11765.975
2016,Benin,66.802864,167.0572709,156.1559783,2962.6638
2017,Benin,64.168755,167.0572709,156.1559783,3041.7793
2018,Benin,62.850002,167.0572709,156.1559783,3155.4512
2019,Benin,66.60546,167.0572709,156.1559783,3281.1047
2019,Bhutan,75.257904,165.3058846,153.6294552,14555.188
2016,Bolivia,79.08278,166.8462997,153.8883819,11448.021
2017,Bolivia,80.59088,166.8462997,153.8883819,11755.256
2018,Bolivia,80.28157,166.8462997,153.8883819,11920.313
2019,Bolivia,81.432465,166.8462997,153.8883819,11930.916
2016,Bosnia and Herzegovina,107.05582,180.8691741,165.8483102,14152.334
2017,Bosnia and Herzegovina,106.23037,180.8691741,165.8483102,14800.325
2018,Bosnia and Herzegovina,108.7299,180.8691741,165.8483102,15556.144
2019,Bosnia and Herzegovina,109.88628,180.8691741,165.8483102,16203.45
2016,Botswana,72.82154,171.6276505,161.3812749,16905.588
2017,Botswana,69.46716,171.6276505,161.3812749,17352.896
2018,Botswana,70.97859,171.6276505,161.3812749,17825.02
2019,Botswana,72.394424,171.6276505,161.3812749,18106.01
2016,Brazil,103.22717,173.5512114,160.8635453,17620.928
2017,Brazil,104.43407,173.5512114,160.8635453,17724.48
2018,Brazil,107.15977,173.5512114,160.8635453,17917.75
2019,Brazil,103.58662,173.5512114,160.8635453,18018.621
2016,Bulgaria,90.490425,178.2402511,164.7953594,24393.56
2017,Bulgaria,90.97258,178.2402511,164.7953594,25397.414
2018,Bulgaria,89.86018,178.2402511,164.7953594,26348.1
2019,Bulgaria,88.9621,178.2402511,164.7953594,27736.375
